cik,ticker,entity_name,gics_sector,gics_industry_group
0000927628,COF,CAPITAL ONE FINANCIAL CORP,Financials,Financial Services
0001018724,AMZN,AMAZON COM INC,Consumer Discretionary,Consumer Discretionary Distribution & Retail
0001035267,ISRG,INTUITIVE SURGICAL INC,Health Care,Health Care Equipment & Services
0001045609,PLD,"Prologis, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
0001045810,NVDA,NVIDIA CORP,Information Technology,Semiconductors & Semiconductor Equipment
0001048911,FDX,FEDEX CORP,Industrials,Transportation
0001051470,CCI,CROWN CASTLE INC.,Real Estate,Equity Real Estate Investment Trusts (REITs)
0001053507,AMT,AMERICAN TOWER CORP /MA/,Real Estate,Equity Real Estate Investment Trusts (REITs)
0001065280,NFLX,NETFLIX INC,Communication Services,Media & Entertainment
0001067983,BRK.B,BERKSHIRE HATHAWAY INC,Financials,Insurance
0001075531,BKNG,Booking Holdings Inc.,Consumer Discretionary,Consumer Services
0001090727,UPS,UNITED PARCEL SERVICE INC,Industrials,Transportation
0001091667,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",Communication Services,Media & Entertainment
0001103982,MDLZ,"Mondelez International, Inc.",Consumer Staples,"Food, Beverage & Tobacco"
0001108524,CRM,"Salesforce, Inc.",Information Technology,Software & Services
0001141391,MA,Mastercard Inc,Financials,Financial Services
0001156039,ELV,"Elevance Health, Inc.",Health Care,Health Care Equipment & Services
0001163165,COP,CONOCOPHILLIPS,Energy,Energy
0001166691,CMCSA,COMCAST CORP,Communication Services,Media & Entertainment
0001283699,TMUS,"T-Mobile US, Inc.",Communication Services,Telecommunication Services
0001318605,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobiles & Components
0001326160,DUK,Duke Energy CORP,Utilities,Utilities
0001326801,META,"Meta Platforms, Inc.",Communication Services,Media & Entertainment
0001341439,ORCL,ORACLE CORP,Information Technology,Software & Services
0001373715,NOW,"ServiceNow, Inc.",Information Technology,Software & Services
0001390777,BK,Bank of New York Mellon Corp,Financials,Banks
0001403161,V,VISA INC.,Financials,Financial Services
0001413329,PM,Philip Morris International Inc.,Consumer Staples,"Food, Beverage & Tobacco"
0001467373,ACN,Accenture plc,Information Technology,Software & Services
0001467858,GM,General Motors Co,Consumer Discretionary,Automobiles & Components
0001551152,ABBV,AbbVie Inc.,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
0001613103,MDT,Medtronic plc,Health Care,Health Care Equipment & Services
0001633917,PYPL,"PayPal Holdings, Inc.",Financials,Financial Services
0001637459,KHC,Kraft Heinz Co,Consumer Staples,"Food, Beverage & Tobacco"
0001652044,GOOGL,Alphabet Inc.,Communication Services,Media & Entertainment
0001707925,LIN,LINDE PLC,Materials,Materials
0001730168,AVGO,Broadcom Inc.,Information Technology,Semiconductors & Semiconductor Equipment
0001744489,DIS,Walt Disney Co,Communication Services,Media & Entertainment
0002012383,BLK,"BlackRock, Inc.",Financials,Financial Services
